builder,target,immigration_yes,security_yes,trafficking_yes,smuggling_yes,border_yes,announced_year,begun_year,planned?,construction?,completed?,TEXT,builder_name,target_name,announced,started,finished,new_work,disappeared,finished_length,unfinished_length,,purpose,type,details,notes,,,,,
ARE,OMN,TRUE,TRUE,FALSE,FALSE,FALSE,,2005,,,1,,UAE,Oman,,2005,2005,,,410,,,Anti-terrorism and anti-immigration,,,,,2005,, http://www.globalsecurity.org/military/world/gulf/uae-security.htm http://www.uaeinteract.com/docs/Fencing_of_UAE-Oman_border_starts/2758.htm ,
BGR,TUR,TRUE,FALSE,FALSE,FALSE,FALSE,,2013,,,1,,Bulgaria,Turkey,,2013,2014,,,30,130,,Anti-immigration ,"Razor wire fence, 3-meter high, 1.5-meter wide",Should be completed by the end of 2015 (still under construction) ,,,2014,160km/197 border,http://www.nytimes.com/2015/04/06/world/europe/bulgaria-puts-up-a-new-wall-but-this-one-keeps-people-out.html ,
BGR,TUR,TRUE,FALSE,FALSE,FALSE,FALSE,,2013,,1,,,Bulgaria,Turkey,,2013,,,,30,130,,Anti-immigration,,,Under construction,,under construction since 2013,,http://www.nytimes.com/2015/04/06/world/europe/bulgaria-puts-up-a-new-wall-but-this-one-keeps-people-out.html,
BRA,ARG,TRUE,FALSE,TRUE,FALSE,FALSE,2013,,1,,,,Brazil,Argentina,,,,,,0,,,Anti-immigration and anti-trafficking,,,"16000 km of virtual fence : drones, sensors... No indication of a physical fence. Data not taken into account for the total. Sisfron. satellite technology, electromagnetic signaling, tactical communications, drones and an increased army presence to monitor the border areas. According to experts, only about 20 percent of the area that Brazil is trying to cover is actually accessible. Most of it lies in thick Amazon forest, marshland, or is traversed by large river systems.",,,,http://www.npr.org/sections/parallels/2013/05/16/184524306/brazil-looks-to-build-a-10-000-mile-virtual-fence,
BRA,BOL,TRUE,FALSE,FALSE,FALSE,FALSE,,2007,,1,,,Brazil,Bolivia,2007,,,,,,,,,,,"Announced in 2007; TBC; rumoured wall, pilot stage of total border surveillance project",,We isolate Paraguay since we have had testimonies that there were some kind of a private wall - but couldnâ€™t confirm,,,
BRA,COL,TRUE,FALSE,TRUE,FALSE,FALSE,2013,,1,,,,Brazil,Columbia,,,,,,0,,,Anti-immigration and anti-trafficking,,,"16000 km of virtual fence : drones, sensors... No indication of a physical fence. Data not taken into account for the total. Sisfron. satellite technology, electromagnetic signaling, tactical communications, drones and an increased army presence to monitor the border areas. According to experts, only about 20 percent of the area that Brazil is trying to cover is actually accessible. Most of it lies in thick Amazon forest, marshland, or is traversed by large river systems.",,,,http://www.npr.org/sections/parallels/2013/05/16/184524306/brazil-looks-to-build-a-10-000-mile-virtual-fence,
BRA,FRA,TRUE,FALSE,TRUE,FALSE,FALSE,2013,,1,,,,Brazil,France,,,,,,0,,,Anti-immigration and anti-trafficking,,,"16000 km of virtual fence : drones, sensors... No indication of a physical fence. Data not taken into account for the total. Sisfron. satellite technology, electromagnetic signaling, tactical communications, drones and an increased army presence to monitor the border areas. According to experts, only about 20 percent of the area that Brazil is trying to cover is actually accessible. Most of it lies in thick Amazon forest, marshland, or is traversed by large river systems.",,,,http://www.npr.org/sections/parallels/2013/05/16/184524306/brazil-looks-to-build-a-10-000-mile-virtual-fence,
BRA,GUY,TRUE,FALSE,TRUE,FALSE,FALSE,2013,,1,,,,Brazil,Guyana,,,,,,0,,,Anti-immigration and anti-trafficking,,,"16000 km of virtual fence : drones, sensors... No indication of a physical fence. Data not taken into account for the total. Sisfron. satellite technology, electromagnetic signaling, tactical communications, drones and an increased army presence to monitor the border areas. According to experts, only about 20 percent of the area that Brazil is trying to cover is actually accessible. Most of it lies in thick Amazon forest, marshland, or is traversed by large river systems.",,,,http://www.npr.org/sections/parallels/2013/05/16/184524306/brazil-looks-to-build-a-10-000-mile-virtual-fence,
BRA,PER,TRUE,FALSE,TRUE,FALSE,FALSE,2013,,1,,,,Brazil,Peru,,,,,,0,,,Anti-immigration and anti-trafficking,,,"16000 km of virtual fence : drones, sensors... No indication of a physical fence. Data not taken into account for the total. Sisfron. satellite technology, electromagnetic signaling, tactical communications, drones and an increased army presence to monitor the border areas. According to experts, only about 20 percent of the area that Brazil is trying to cover is actually accessible. Most of it lies in thick Amazon forest, marshland, or is traversed by large river systems.",,,,http://www.npr.org/sections/parallels/2013/05/16/184524306/brazil-looks-to-build-a-10-000-mile-virtual-fence,
BRA,PRY,TRUE,FALSE,FALSE,FALSE,FALSE,,2007,,1,,,Brazil,Paraguay,2007,,,,,,,,,,,"Announced in 2007; TBC; rumoured wall, pilot stage of total border surveillance project",,We isolate Paraguay since we have had testimonies that there were some kind of a private wall - but couldnâ€™t confirm,,,
